Name,Description,CostPrice,TaxRate,CostIncTax,SalePriceIncTax,IsVariablePrice,MarginPerc,TaxExemptEligible,RRPrice,Barcode,Category,Brand,Supplier,OrderCode,ArticleCode,Size,Colour,ProductType,TareWeight,ProductId,AgeRestriction
"Pazhayidom uzhunnu vada 400gm ","Pazhayidom uzhunnu vada 400gm ",3.26000,GST,3.58600,5.25000,False,0.316950,False,0,619317087200,FROZEN,,Asiatic,,,,,Standard,,2221836,
"Pazhayidom Kozhikode ","Pazhayidom Kozhikode ",3.26000,GST,3.58600,5.49000,False,0.346810,False,0,619317087255,FROZEN,,Asiatic,,,,,Standard,,2221852,
"Pazhayidom laddu ","Pazhayidom laddu ",3.55000,GST,3.90500,5.75000,False,0.320870,False,0,619317087231,Grocery,,Asiatic,,,,,Standard,,2221878,
"Pazhayidom unniyapam ","Pazhayidom unniyapam ",3.59000,GST FREE,3.59000,5.49000,False,0.346080,False,0,046139455427,FROZEN,,Asiatic,,,,,Standard,,2221902,
Pazhayidom parripuvada,Pazhayidom parripuvada,3.26000,GST,3.58600,5.49000,False,0.346810,False,0,046139455434,Grocery,,Asiatic,,,,,Standard,,2221950,
"Pazhayidom neyyapam ","Pazhayidom neyyapam ",3.00000,GST,3.30000,5.49000,False,0.398910,False,0,619317087286,FROZEN,,Asiatic,,,,,Standard,,2221969,
"Kannan kaya powder banana powder 500gm ","Kannan kaya powder banana powder 500gm ",5.12000,GST,5.63200,8.25000,False,0.317330,False,0,8906005625212,Grocery,,Asiatic,,,,,Standard,,2221983,
"Mayil idly rice 2kg ","Mayil idly rice 2kg ",3.25000,GST FREE,3.25000,4.90000,False,0.336730,False,0,8906005621276,Grocery,,Asiatic,,,,,Standard,,2222011,
"Pazhayidom malabar family parantha ","Pazhayidom malabar family parantha ",9.08000,GST,9.98800,14.50000,False,0.311170,False,0,046139455403,FROZEN,,Asiatic,,,,,Standard,,2222160,
BRAHMI GHRUTHAM 150GMS,BRAHMI GHRUTHAM 150GMS,5.36000,GST,5.89600,9.49000,False,0.378710,False,0,8904108045029,"Personal Care, Beauty & Pharmacy",KANDAMKULATHY,Asiatic,,,,,Standard,,2224190,
MURIVENNA 100ML,MURIVENNA 100ML,3.63000,GST,3.99300,8.99000,False,0.555840,False,0,8904108051099,"Personal Care, Beauty & Pharmacy",KANDAMKULATHY,Asiatic,,,,,Standard,,2224204,
PINDA THAILAM 200ML,PINDA THAILAM 200ML,4.09000,GST,4.49900,9.49000,False,0.525920,False,0,8904108052003,"Personal Care, Beauty & Pharmacy",KANDAMKULATHY,Asiatic,,,,,Standard,,2224214,
"STAINLESS STEEL THALI ","STAINLESS STEEL THALI ",4.83000,GST,5.31300,7.99000,False,0.335040,False,0,,SUPPLIES,,Indya,,,,,Standard,,2224386,
MURUKKU PRESS BRASS,MURUKKU PRESS BRASS,21.77800,GST,23.95580,29.99000,False,0.201210,False,0,,SUPPLIES,,Indya,,,,,Standard,,2224393,
PONDS DREAM FLOWER TALC 400GMS,PONDS DREAM FLOWER TALC 400GMS,5.50000,GST,6.05000,7.99000,False,0.242800,False,0,8901030772290,"Personal Care, Beauty & Pharmacy",POND,Indya,,,,,Standard,,2224407,
AAM PAPAD (MANGO ROLLS) 100GMS,AAM PAPAD (MANGO ROLLS) 100GMS,1.21000,GST,1.33100,1.99000,False,0.331160,False,0,9339209002135,Grocery,,Indya,,,,,Standard,,2224414,
REAL MIXED FRUIT JUICE 1L,REAL MIXED FRUIT JUICE 1L,3.27000,GST,3.59700,5.99000,False,0.399500,False,0,4796008920865,Drinks,REAL,Indya,,,,,Standard,,2224466,
BROOKE BOND RED LABEL 250GM,BROOKE BOND RED LABEL 250GM,4.00000,GST FREE,4.00000,5.99000,False,0.332220,False,0,8901030674570,Grocery,Brooke Bond,Shivom Enterprises,,,,,Standard,,2226092,
UZHUNNUVADA TASTE N EAT 350gms,UZHUNNUVADA TASTE N EAT 350gms,3.63000,GST FREE,3.63000,5.75000,False,0.368700,False,0,8906029015228,FROZEN,TASTE,Asiatic,,,,,Standard,,2228164,
"BRAHMINS EASY PALAPPAM MIX 1KG ","BRAHMINS EASY PALAPPAM MIX 1KG ",3.90000,GST FREE,3.90000,5.99000,False,0.348910,False,0,8906014086356,Grocery,BRAHMINS,Asiatic,,,,,Standard,,2228186,
SAKTHI SAMBAR POWDER 200g,SAKTHI SAMBAR POWDER 200g,0.00000,GST FREE,0.00000,3.49000,False,1.000000,False,0,8906002080366,Grocery,,MTS,,,,,Standard,,2230286,
SARAS DESI CHICKEN CURRY GRAVY MIX,SARAS DESI CHICKEN CURRY GRAVY MIX,2.99000,GST FREE,2.99000,4.25000,False,0.296470,False,0,8901779901340,Grocery,SARAS,Asiatic,,,,,Standard,,2231273,
OREO COOKIES CREAM 1.2 L ICE CREAM,OREO COOKIES CREAM 1.2 L ICE CREAM,4.50000,GST FREE,4.50000,8.99000,False,0.499440,False,0,9347043001504,FROZEN,OREO,Woolworths,,,,,Standard,,2246793,
MDH DAHIVADA RAITA MASALA 100g,MDH DAHIVADA RAITA MASALA 100g,2.10000,GST FREE,2.10000,2.99000,False,0.297660,False,0,8902167000355,Grocery,MDH P,KATOOMBA,,,,,Standard,,2246940,
JACKLINKS BARBECUE BEEF JERKY 50g,JACKLINKS BARBECUE BEEF JERKY 50g,0.00000,GST,0.00000,5.49000,False,1.000000,False,0,9421013441504,CONFECTIONERY,,Coles,,,,,Standard,,2246963,
JACKLINKS ORIGINAL BEEF JERKY 50g,JACKLINKS ORIGINAL BEEF JERKY 50g,0.00000,GST,0.00000,5.49000,False,1.000000,False,0,9421013441467,CONFECTIONERY,,Coles,,,,,Standard,,2247032,
CADBURY CARAMILK 180g,CADBURY CARAMILK 180g,0.00000,GST,0.00000,4.99000,False,1.000000,False,0,9300617075547,CONFECTIONERY,DAIRY,Woolworths,,,,,Standard,,2247143,
DAIRY MILK MARVELLOUS CREATIONS 180g,DAIRY MILK MARVELLOUS CREATIONS 180g,0.00000,GST,0.00000,4.99000,False,1.000000,False,0,930061705722,CONFECTIONERY,DAIRY,Woolworths,,,,,Standard,,2247185,
SAURBHI COOKING SODA 125G,SAURBHI COOKING SODA 125G,1.50000,GST FREE,1.50000,2.25000,False,0.333330,False,0,8904188610070,Grocery,SAURBHI,Shivom Enterprises,,,,,Standard,,2255904,
EVEREST RAJMA MASALA 100GM,EVEREST RAJMA MASALA 100GM,1.45000,GST FREE,1.45000,2.25000,False,0.355560,False,0,8901786541003,Grocery,Everest,Shivom Enterprises,,,,,Standard,,2262027,
Viswas tapioca chips spicy,Viswas tapioca chips spicy,2.25000,GST,2.47500,3.75000,False,0.340000,False,0,8908000274877,CONFECTIONERY,VISWA,Wales,,,,,Standard,,2264709,
Viswas tapioca strips plain,Viswas tapioca strips plain,2.41000,GST,2.65100,3.75000,False,0.293070,False,0,8908000281295,CONFECTIONERY,,Wales,,,,,Standard,,2264724,
"Viswas spicy banana chips ","Viswas spicy banana chips ",5.00000,GST,5.50000,6.99000,False,0.213160,False,0,8908000277359,CONFECTIONERY,VISWA,Wales,,,,,Standard,,2264734,
MALABAR TREATS MULLU MURUKKU SPICY 200GM,MALABAR TREATS MULLU MURUKKU SPICY 200GM,2.05000,GST,2.25500,2.99000,False,0.245820,False,0,8906082393158,CONFECTIONERY,MALABAR TREATS,Wales,,,,,Standard,,2264962,
DAILY DELIGHT RED ONION 400gm,DAILY DELIGHT RED ONION 400gm,4.50000,GST FREE,4.50000,6.70000,False,0.328360,False,0,664648729251,FROZEN,DAILY,Wales,,,,,Standard,,2289194,
SAURBHI SURTI PAPDI LILVA 312g,SAURBHI SURTI PAPDI LILVA 312g,2.10000,GST FREE,2.10000,3.15000,False,0.333330,False,0,8904188606929,FROZEN,SAURBHI,Shivom Enterprises,,,,,Standard,,2289197,
THE NATURAL SNAKES 260g,THE NATURAL SNAKES 260g,0.00000,GST,0.00000,3.99000,False,1.000000,False,0,93104434001773,CONFECTIONERY,NATURAL,JB Metro,,,,,Standard,,2289208,
